,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_is_classifier,param_learning_rate_init,param_max_attempts,param_restarts,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
10,0.45778244733810425,0.021091834953417314,0.0009977221488952637,7.79431869424702e-07,sigmoid,"[5, 5]",True,0.01,400,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.01, 'max_attempts': 400, 'restarts': 0}",0.5425,0.57,0.55,0.5675,0.5575,0.011592023119369617,19,0.5583333333333333,0.5533333333333333,0.5591666666666667,0.555,0.5564583333333334,0.0023844839879707514
11,0.4540424942970276,0.009907702856454237,0.0012466907501220703,0.000431673709478547,sigmoid,"[5, 5]",True,0.01,500,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.01, 'max_attempts': 500, 'restarts': 0}",0.5425,0.57,0.55,0.5675,0.5575,0.011592023119369617,19,0.5583333333333333,0.5533333333333333,0.5591666666666667,0.555,0.5564583333333334,0.0023844839879707514
12,0.4505523443222046,0.022069520063921464,0.0009974241256713867,1.1920928955078125e-07,sigmoid,"[5, 5]",True,0.03,10,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.03, 'max_attempts': 10, 'restarts': 0}",0.68,0.7075,0.67,0.7175,0.6937500000000001,0.01940521837032502,13,0.695,0.685,0.6975,0.6941666666666667,0.6929166666666666,0.004732423621500205
13,0.4630194306373596,0.007375870539746446,0.0009971261024475098,5.430241572346866e-07,sigmoid,"[5, 5]",True,0.03,100,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.03, 'max_attempts': 100, 'restarts': 0}",0.68,0.7075,0.67,0.7175,0.6937500000000001,0.01940521837032502,13,0.695,0.685,0.6975,0.6941666666666667,0.6929166666666666,0.004732423621500205
14,0.49170684814453125,0.010438251646642428,0.0012468695640563965,0.00043170808931239103,sigmoid,"[5, 5]",True,0.03,200,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.03, 'max_attempts': 200, 'restarts': 0}",0.68,0.7075,0.67,0.7175,0.6937500000000001,0.01940521837032502,13,0.695,0.685,0.6975,0.6941666666666667,0.6929166666666666,0.004732423621500205
15,0.4687652587890625,0.008065256368149825,0.0014955401420593262,0.0004988313362239141,sigmoid,"[5, 5]",True,0.03,300,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.03, 'max_attempts': 300, 'restarts': 0}",0.68,0.7075,0.67,0.7175,0.6937500000000001,0.01940521837032502,13,0.695,0.685,0.6975,0.6941666666666667,0.6929166666666666,0.004732423621500205
16,0.472074031829834,0.019512230632633284,0.0012465119361877441,0.0004316393186756221,sigmoid,"[5, 5]",True,0.03,400,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.03, 'max_attempts': 400, 'restarts': 0}",0.68,0.7075,0.67,0.7175,0.6937500000000001,0.01940521837032502,13,0.695,0.685,0.6975,0.6941666666666667,0.6929166666666666,0.004732423621500205
17,0.48603713512420654,0.024075525876583324,0.0014960765838623047,0.0008637603719761185,sigmoid,"[5, 5]",True,0.03,500,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.03, 'max_attempts': 500, 'restarts': 0}",0.68,0.7075,0.67,0.7175,0.6937500000000001,0.01940521837032502,13,0.695,0.685,0.6975,0.6941666666666667,0.6929166666666666,0.004732423621500205
18,0.4922625422477722,0.007101500044197728,0.0009972453117370605,3.097148193542142e-07,sigmoid,"[5, 5]",True,0.05,10,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.05, 'max_attempts': 10, 'restarts': 0}",0.755,0.75,0.72,0.7525,0.7443749999999999,0.014183507147387775,1,0.7408333333333333,0.7441666666666666,0.7541666666666667,0.7416666666666667,0.7452083333333334,0.005315562842572102
19,0.5022149085998535,0.017621448184711706,0.0012466907501220703,0.00043222424774713573,sigmoid,"[5, 5]",True,0.05,100,0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.05, 'max_attempts': 100, 'restarts': 0}",0.755,0.75,0.72,0.7525,0.7443749999999999,0.014183507147387775,1,0.7408333333333333,0.7441666666666666,0.7541666666666667,0.7416666666666667,0.7452083333333334,0.005315562842572102
