,Iteration,Time,Fitness,FEvals,max_iters,restarts,is_classifier,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts,current_restart
0,0,0.0026451999999608233,0.6803854815455488,1.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
1,1,0.009634399999981724,0.6803854815455488,3.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
2,2,0.016354699999965305,0.6802980024684121,5.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
3,3,0.021936099999948055,0.6802980024684121,6.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
4,4,0.024439599999936945,0.6801397730868476,8.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
5,5,0.03190089999998236,0.6795871182739576,10.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
6,6,0.03316629999994802,0.6795871182739576,11.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
7,7,0.035616600000025755,0.6794428712737658,13.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
8,8,0.03686430000004748,0.6794428712737658,14.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
9,9,0.04333740000004127,0.6794428712737658,15.0,100,0,True,"[-0.4759506499688366, -0.6826320556910688, -0.4437469610112805, -0.0813662255708667, -0.35799891895966574, 0.036785641195074215, -0.4761141488697107, 0.9521705697548672, 0.4656291053809647, -0.7694515466337011, -0.2274498627312811, 0.25700235907942326, -0.7498841473288012, 0.9670972102872823, -0.11355026270974378, 0.5791166840478064, 0.5882371515831732, -0.27747685516513854, -0.167792120858004, 0.1685162562206428, 0.5203435476117149, -0.6243831891471687, -0.42366570437592865, 0.34043771632046815, -0.0007034772559750824, -0.6428626456729458, -0.17371739715068224, -0.6016095295898032, 0.06339880717407342, 0.6647414061359651, -0.6294981098559103, 0.9147184473425214, -0.1491706697109667, 0.008014078322874596, 0.02094189365189414, -0.9684170955763711, 0.4633801373352484, 0.9866100797816586, -0.6742449334604654, -0.7467304406183248, -0.250331630839858, 0.38643888840226137, -0.9941979396625802, -0.26154187548102836, -0.8826413488397749, 0.578672170048224, -0.3004615746000363, 0.40504743942751653, -0.017541845468242778, 0.9457446597376122, 0.6719357600650964, 0.22047466434640284, 0.12903795894907688, 0.9947782864417738, -0.49055172710823847, -0.971244285945351, -0.8219098655950123, 0.8779652010919079, 0.9469187987353844, -0.017036940337160633, -0.31812805669350275, 0.4457152358694667, -0.9782064752597015, 0.5199063552898913, 0.34280557242526144, -0.6191089486073558, 0.33292930513963404, 0.8222448031206269, -0.6757651484800478, 0.8211566327572386]",rhc,sigmoid,True,True,1,"[5, 5]",0.05,10,0
