,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_is_classifier,param_learning_rate_init,param_max_attempts,param_schedule,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
10,0.574948787689209,0.014962114025443307,0.0012447237968444824,0.00043309351361893434,sigmoid,"[5, 5]",True,0.001,200,1.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 200, 'schedule': GeomDecay(init_temp=1.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
11,0.5625771284103394,0.013543983938623601,0.001123189926147461,0.0005363651591755922,sigmoid,"[5, 5]",True,0.001,200,5.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 200, 'schedule': GeomDecay(init_temp=5.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
12,0.5596974492073059,0.01610375182625977,0.0009942054748535156,3.354846782558033e-06,sigmoid,"[5, 5]",True,0.001,200,10.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 200, 'schedule': GeomDecay(init_temp=10.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
13,0.5694419145584106,0.0237407536347072,0.0015035271644592285,0.0005063250175847341,sigmoid,"[5, 5]",True,0.001,200,50.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 200, 'schedule': GeomDecay(init_temp=50.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
14,0.5707024931907654,0.019066370075644164,0.000994563102722168,2.873413751886833e-06,sigmoid,"[5, 5]",True,0.001,200,100.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 200, 'schedule': GeomDecay(init_temp=100.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
15,0.5489581823348999,0.0049180070177939,0.0011303424835205078,0.00021977453848400782,sigmoid,"[5, 5]",True,0.001,300,1.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 300, 'schedule': GeomDecay(init_temp=1.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
16,0.5776955485343933,0.007644626678817188,0.0012466907501220703,0.0004319489676253954,sigmoid,"[5, 5]",True,0.001,300,5.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 300, 'schedule': GeomDecay(init_temp=5.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
17,0.5694530606269836,0.020980022920921517,0.0012452006340026855,0.0004326796166059773,sigmoid,"[5, 5]",True,0.001,300,10.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 300, 'schedule': GeomDecay(init_temp=10.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
18,0.555708110332489,0.012378408757008012,0.0009954571723937988,2.9460616961139196e-06,sigmoid,"[5, 5]",True,0.001,300,50.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 300, 'schedule': GeomDecay(init_temp=50.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
19,0.5580659508705139,0.011494862711825114,0.0012452006340026855,0.0004328161268626641,sigmoid,"[5, 5]",True,0.001,300,100.0,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 300, 'schedule': GeomDecay(init_temp=100.0, decay=0.99, min_temp=0.001)}",0.4975,0.5475,0.5125,0.5075,0.51625,0.01883314896664921,121,0.5225,0.5058333333333334,0.5175,0.52,0.5164583333333334,0.00638398060251855
